Section,Category Type,Check Name,Description,Importance
Authority,Base,Domain Rating Growth,Does the site have a clear increase in domain rating over the last 2 years?,Critical
Authority,Base,Natural Link Profile,Does the site have a natural link profile attributed to it?,Critical
Authority,Base,High-Authority Backlinks,Does the site have backlinks from at least 10 high-authority domains (DR 50+) in the past 12 months?,Medium
Authority,Base,Referring Domains Growth,"Does the site have a clear, consistent increase in referring domains over the last 12 months?",Medium
Authority,Base,Anchor Text Distribution,Is the anchor text profile of the website natural and NOT exact-match heavy?,High
Authority,Base,Low Spam Score,Does the site have a spam score of 1% or less?,Medium
On-Page,Base,Optimised Meta Titles,Do all key pages have optimised meta titles?,Critical
On-Page,Base,Single H1 Tag,Do all pages have x1 H1 tag?,Critical
On-Page,Base,Missing H1 Tag,Are any pages missing a H1 tag?,High
On-Page,Base,URL Structure,"Is the website's URL structure clear, concise and logical?",Medium
On-Page,Base,Image Alt Text,Do images have optimised alt text attributed to them on a consistent basis across the site?,Medium
On-Page,Base,Image File Names,Do images have optimised file names attributed to them on a consistent basis across the site?,Low
On-Page,Base,Optimised Meta Descriptions,Do all key pages have optimised meta descriptions?,Medium
On-Page,Base,Pagination Check,"If pagination exists, is it working correctly?",Low
On-Page,Base,Internal Linking,Are internal links optimised with varying anchor texts to key pages?,Medium
Technical,Base,Robots.txt Valid,Check if robots.txt exists and is valid.,Critical
Technical,Base,Robots.txt blocking URLs,Check to see if any key URLs are blocked from indexing via robots.txt,Critical
Technical,Base,Sitemap.xml Exists,Does sitemap.xml file exist?,Critical
Technical,Base,Sitemap.xml In Robots.txt,Is the sitemap.xml referenced in the robots.txt file?,Low
Technical,Base,Sitemap.xml Structure,Is the sitemap.xml file structured clean and correct with categories?,Medium
Technical,Base,Sitemap URL Errors,Do URLs in sitemap.xml file return any 404 or 3xx errors?,High
Technical,Base,Internal 404 Errors,Are there internal 404 errors firing on the website?,Critical
Technical,Base,Soft 404 Errors,Are there any soft 404 errors firing on the website?,High
Technical,Base,5xx Errors,Are there any 5xx errors firing on the website?,Medium
Technical,Base,Missing Meta Titles,Any missing meta titles?,Critical
Technical,Base,Duplicate Meta Titles,Any duplicate meta titles?,High
Technical,Base,Duplicate Meta Descriptions,Any duplicate meta descriptions?,Medium
Technical,Base,Missing Meta Descriptions,Any missing meta descriptions?,Medium
Technical,Base,Noindex on Key Pages,Any key pages have a noindex tag attributed on them?,Critical
Technical,Base,Internal Redirects,Are there internal redirects firing on the website?,High
Technical,Base,Redirect Chains,Are there any redirect chains or loops firing on the website?,Medium
Technical,Base,Crawl Depth,Are any key pages >3 clicks from the homepage?,High
Technical,Base,JavaScript Dependency,Does critical content load without dependency of JavaScript (e.g. navigation/key HTML)?,Critical
Technical,Base,Mixed Content Check,Ensure that there are no mixed content errors occurring,High
Technical,Base,Missing HSTS Header,Ensure there is no missing HSTS header,Medium
